"145","Nicaragua","3,180","3,644","4,402","4,866","5,267","5,604","5,908","1,098","1,277","1,493","1,750","2,053","2,395","2,803"
"146","Niger","6,869","7,842","9,199","10,951","13,189","15,878","19,034","3,271","3,559","3,913","4,344","4,841","5,419","6,093"
"147","Nigeria","84,898","96,690","109,833","124,207","141,852","161,605","183,529","31,797","35,955","41,550","48,068","55,590","64,428","74,829"
"148","North Korea","18,831","20,451","22,107","22,785","23,621","24,326","24,983","9,471","8,863","10,448","11,964","14,062","16,014","17,390"
"149","Northern Mariana Islands (US)","21","44","57","70","71","48","44","6","7","9","10","12","15","17"
"150","Norway","4,152","4,242","4,359","4,492","4,593","4,676","4,754","3,265","3,427","3,581","3,723","3,877","4,007","4,086"
"151","Oman","1,497","1,794","2,139","2,432","2,697","2,968","3,287","489","540","601","682","783","920","1,185"
"152","Pakistan","102,079","118,816","134,185","152,429","169,279","184,405","199,086","40,382","45,536","51,719","59,046","67,491","76,456","85,219"
"153","Palau","14","15","17","19","20","21","21","7","8","9","11","12","13","13"
"154","Panama","2,168","2,393","2,638","2,900","3,155","3,411","3,657","893","1,011","1,148","1,326","1,531","1,749","1,960"
"155","Papua New Guinea","3,229","3,683","4,216","4,813","5,440","6,065","6,672","1,412","1,545","1,718","1,941","2,214","2,504","2,846"
"156","Paraguay","3,633","4,200","4,826","5,418","5,926","6,376","6,783","1,476","1,683","1,910","2,170","2,477","2,848","3,172"
"157","Peru","19,379","21,565","23,863","25,797","27,442","28,948","30,445","7,633","8,672","9,931","11,467","13,193","15,161","17,295"
"158","Philippines","57,706","65,088","72,597","81,222","90,436","99,900","109,616","21,131","24,553","28,529","33,268","38,604","44,337","50,940"
"159","Poland","37,226","38,119","38,601","38,654","38,558","38,464","38,302","24,824","27,221","29,590","31,262","32,526","33,969","35,578"
"160","Portugal","9,897","9,923","10,066","10,336","10,566","10,736","10,825","8,443","8,693","9,037","9,129","9,044","9,411","9,778"
"161","Puerto Rico","3,382","3,537","3,683","3,814","3,911","3,979","4,024","2,218","2,250","2,358","2,597","2,722","2,935","3,210"
"162","Qatar","342","433","510","640","973","1,719","2,195","25","35","45","70","113","165","229"
"163","Romania","22,521","22,866","22,687","22,447","22,197","21,959","21,666","16,311","17,325","18,403","19,027","20,253","21,245","22,130"
"164","Russia","143,938","147,973","148,490","146,710","142,776","139,390","136,010","101,937","111,125","119,632","126,541","130,245","134,293","139,039"
"165","Rwanda","5,987","6,999","5,473","8,398","9,611","11,056","12,662","2,439","2,698","3,032","3,265","3,769","4,357","5,140"
"166","Saint Barthélemy (France)","4","5","6","7","8","7","7","2","2","2","2","2","3","3"
"167","Saint Helena, Ascension and Tristan da Cunha (UK)","8","7","7","7","7","8","8","5","5","5","5","6","6","6"
"168","Saint Kitts and Nevis","43","42","43","46","48","50","52","44","50","51","49","46","45","44"
"169","Saint Lucia","131","138","146","153","157","161","164","79","86","88","94","103","112","122"
"170","Saint Martin (France)","15","30","33","28","28","30","32","3","4","4","5","5","6","8"
"171","Saint Pierre and Miquelon (France)","6","6","6","6","6","6","6","5","5","5","5","5","6","6"
"172","Saint Vincent and the Grenadines","104","107","109","108","106","104","103","66","75","81","85","88","92","98"
"173","Samoa","161","163","169","176","184","192","198","82","94","110","127","142","151","159"
"174","San Marino","23","23","25","27","30","31","33","13","14","15","17","19","20","21"
"175","São Tomé and Príncipe","104","116","127","141","158","176","194","60","60","63","69","74","82","94"
"176","Saudi Arabia","13,330","16,061","18,755","21,312","23,642","25,732","27,752","3,860","4,243","4,718","5,327","6,109","7,208","10,022"
"177","Senegal","6,378","7,348","8,378","9,469","10,804","12,323","13,976","2,654","2,927","3,270","3,744","4,318","4,989","5,611"
